지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
533,1998.05.13,2012.12.20,양수리,이천지역기상서비스센터(203),37.550,127.3333,48,,,,
533,1991.01.16,1998.05.13,양수리,수도권기상청(119),37.5422,127.3294,30,,,,
534,2017.08.25,~,장호원,,37.121,127.6106,113.2,,,,
534,2015.07.13,2017.08.25,장호원,,37.121,127.6106,87.29,,,,
534,2011.11.03,2015.07.13,장호원,이천지역기상서비스센터(203),37.121,127.6106,87.29,,,,
534,1991.11.17,2011.11.03,장호원,이천지역기상서비스센터(203),37.1147,127.6171,86.97,,,,
535,2015.07.13,~,서석,강릉(구 105),37.717,128.1826,313.14,,,,
535,2009.11.24,2015.07.13,서석,원주기상대(114),37.717,128.1827,312.87,,,,
535,1991.10.30,2009.11.23,서석,원주기상대(114),37.7116,128.1867,327,,,,
536,2015.07.13,~,횡성,강릉(구 105),37.4876,127.9724,110.52,,,,
536,2010.03.17,2015.07.13,횡성,원주기상대(114),37.4876,127.9724,110.52,,,,
536,1991.10.29,2010.03.17,횡성,원주기상대(114),37.470,127.880,128,,,,
537,2015.07.13,~,임계,강릉(구 105),37.4832,128.8459,488,,,,
537,2011.06.20,2015.07.13,임계,동해기상대(106),37.4832,128.8459,488,,,,
537,1999.05.24,2011.06.20,임계,동해기상대(106),37.4949,128.852,507.12,,,,
537,1991.10.31,1999.05.24,임계,동해기상대(106),37.4955,128.8539,480,,,,
538,2015.07.13,~,신서,,38.1725,127.103,82.18,,,,
538,1999.06.01,2015.07.13,신서,동두천지역기상서비스센터(98),38.1725,127.103,82.18,,,,
538,1998.03.24,1999.06.01,대광리,동두천지역기상서비스센터(98),38.1726,127.1088,200,,,,
538,1992.12.15,1998.03.24,대광리,철원기상대(95),38.1726,127.1088,197,,,,
539,2016.08.01,~,포천이동,,38.0241,127.3658,139.4,,,,
539,2015.07.13,2016.08.01,이동,,38.0241,127.3658,139.4,,,,
539,2015.04.29,2015.07.13,이동,동두천지역기상서비스센터(98),38.0241,127.3658,139.4,,,,
539,2010.10.19,2015.04.29,이동,동두천지역기상서비스센터(98),38.0237,127.3579,139.4,,,,
539,2001.01.05,2010.10.19,이동,동두천지역기상서비스센터(98),38.0333,127.3667,179,,,,
539,1998.11.26,2001.01.05,동두천,서울기상관측소(108),37.8991,127.0628,112.49,,,,
540,2015.07.13,~,고양,,37.6343,126.8917,100,,,,
540,2011.10.29,2015.07.13,고양,파주기상대(99),37.6343,126.8917,100,,,,
540,2010.11.03,2011.10.29,고양,파주기상대(99),37.6573,126.8719,54.5,,,,
540,2010.10.05,2010.11.03,고양,파주기상대(99),37.641,126.877,76,,,,
540,2010.08.16,2010.10.05,고양,인천기상대(112),37.6413,126.8774,76,,,,
540,1992.11.15,2010.08.15,고양,서울기상관측소(108),37.6413,126.8774,76,,,,
541,2015.07.13,~,남양주,,37.6528,127.1493,28,,,,
541,2011.11.26,2015.07.13,남양주,동두천지역기상서비스센터(98),37.6528,127.1493,28,,,,
541,2010.11.02,2011.11.24,남양주,동두천지역기상서비스센터(98),37.6539,127.1761,38.01,,,,
541,2010.10.05,2010.11.02,남양주,동두천지역기상서비스센터(98),37.650,127.180,37,,,,
541,2010.08.16,2010.10.05,남양주,인천기상대(112),37.650,127.180,37,,,,
